"Sub","noise","Type","N","corr","sd","se","ci"
"Sub23","0.5","Within",60,0.997644726590046,0.00160308487208232,0.000206957367071062,0.000414120734970512
"Sub24","0.5","Between",720,0.992702396488195,0.00476718344066478,0.000177662437242296,0.000348799129718222
"Sub24","0.5","Within",60,0.998736854802317,0.000829852167401168,0.000107133454138628,0.000214373546570027
"Sub25","0.5","Between",720,0.989268661086691,0.00748434960077829,0.000278925241245228,0.000547605238974054
"Sub25","0.5","Within",60,0.998439657267667,0.0010519068920943,0.000135800595828068,0.000271736364593597
"Sub26","0.5","Between",720,0.992078275494516,0.00525546994305915,0.00019585980077312,0.000384525446779049
"Sub26","0.5","Within",60,0.998707065692802,0.000957156197640912,0.000123568333772749,0.000247259664757339
"Sub27","0.5","Between",720,0.990481818636874,0.00541056487226473,0.000201639847517607,0.000395873232532196
"Sub27","0.5","Within",60,0.998450613895113,0.000994488522651527,0.000128387916207459,0.00025690362693351
"Sub28","0.5","Between",720,0.992064933672548,0.00530063319810858,0.000197542935912715,0.000387829893577153
"Sub28","0.5","Within",60,0.99880820284546,0.000825374876986195,0.000106555438431518,0.000213216939811636
"Sub29","0.5","Between",720,0.985487123202121,0.00813597822710287,0.000303210006321004,0.000595282761895178
"Sub29","0.5","Within",60,0.996783693042216,0.00209253958778423,0.000270145699158935,0.000540560295427452
"Sub3","0","Between",720,0.962319282512567,0.0139126280429049,0.000518493034160086,0.00101794122543391
"Sub3","0","Within",60,0.996676352335237,0.00221432221614024,0.000285867768874942,0.000572020084263163
"Sub30","0.5","Between",720,0.990772709286052,0.00553151204706428,0.000206147282593246,0.00040472253943155
"Sub30","0.5","Within",60,0.998374309833767,0.00117279217423886,0.000151406818646316,0.000302964344322327
"Sub31","0.5","Between",720,0.980224407271246,0.0148150262176582,0.000552123428518755,0.0010839667312553
"Sub31","0.5","Within",60,0.995619860908282,0.00394839814645864,0.000509736008847685,0.00101997939774938
"Sub32","0.5","Between",720,0.982960107046071,0.010598679881675,0.000394989478119745,0.000775470540394131
"Sub32","0.5","Within",60,0.997530112286165,0.00170993480824216,0.000220751634514075,0.000441723000368095
"Sub33","0.5","Between",720,0.99558322331602,0.00376150022858256,0.000140182836808193,0.000275216597492949
"Sub33","0.5","Within",60,0.999364696425204,0.000492846913079511,6.36262628862226e-05,0.000127315857960361
"Sub34","0.5","Between",720,0.988731733840947,0.00638936736040104,0.000238117662517919,0.000467488990616044
"Sub34","0.5","Within",60,0.998212114227524,0.00117709427215366,0.000151962217098908,0.000304075694058962
"Sub35","0.5","Between",720,0.962734802169469,0.0235617996098886,0.000878096426665649,0.00172393936604593
"Sub35","0.5","Within",60,0.993186889946127,0.00656900288976871,0.000848054626442087,0.00169695338787699
"Sub36","0.5","Between",720,0.986093315743176,0.00965707974877075,0.0003598981130398,0.000706576756257777
"Sub36","0.5","Within",60,0.997381001935922,0.00216211259166566,0.000279127535338215,0.000558532908108938
"Sub37","0.5","Between",720,0.987795709272069,0.00760233103132654,0.00028332214955837,0.000556237552122969
"Sub37","0.5","Within",60,0.997891147758174,0.00192514478564656,0.00024853512312824,0.000497317632672206
"Sub38","0.5","Between",720,0.98556081511168,0.0102606254376603,0.000382390932837865,0.000750736208825537
"Sub38","0.5","Within",60,0.99805749703315,0.00132180367407208,0.000170644120554565,0.000341458096527621
"Sub39","0.5","Between",720,0.995012233713942,0.00315368805193261,0.00011753101439917,0.000230744980051251
"Sub39","0.5","Within",60,0.999345069313495,0.000418131332615921,5.39805229249658e-05,0.000108014776879644
"Sub4","0","Between",720,0.963311871443765,0.0164105262839059,0.000611584205289344,0.00120070422237542
"Sub4","0","Within",60,0.995485129744664,0.00247060817983747,0.000318954144517144,0.000638225769000903
"Sub40","0.5","Between",720,0.98655294000827,0.00797511264248862,0.000297214899947042,0.000583512756269542
"Sub40","0.5","Within",60,0.997977841457435,0.00123205954465814,0.000159058203266562,0.000318274729583415
"Sub41","5","Between",720,0.712510096407788,0.239790354321073,0.00893645887684465,0.017544671385742
"Sub41","5","Within",60,0.881771435514494,0.147802863466078,0.0190812676241962,0.038181528324082
"Sub42","5","Between",720,0.671087972459868,0.277846756084929,0.0103547372322284,0.0203291331084041
"Sub42","5","Within",60,0.850128603247329,0.177091677672781,0.022862437279287,0.0457476313276863
"Sub43","5","Between",720,0.883680460175912,0.143168991777606,0.00533559329808058,0.0104752041443785
"Sub43","5","Within",60,0.952074732203315,0.0641936915929297,0.00828736994903306,0.0165829889645228
"Sub44","5","Between",720,0.604272468782055,0.309389887573453,0.0115302803360876,0.022637040271769
"Sub44","5","Within",60,0.871727852040809,0.166100171487452,0.0214434399324366,0.0429082241951191
"Sub45","5","Between",720,0.967054454013613,0.0339074350963934,0.00126365549696996,0.00248089548048729
"Sub45","5","Within",60,0.983048984211155,0.0172904009212109,0.00223218116056997,0.00446658418535621
"Sub46","5","Between",720,0.985232283861087,0.0135235486852001,0.000503992902618921,0.000989473568787613
"Sub46","5","Within",60,0.993123228525827,0.00658485290158812,0.000850100854169212,0.00170104788010148
"Sub47","5","Between",720,0.875000281180284,0.0932642470115238,0.00347575326980165,0.0068238381418166
"Sub47","5","Within",60,0.937455683298513,0.0628549280210145,0.00811453631508184,0.0162371496618082
"Sub48","5","Between",720,0.978757277218503,0.0301360372604703,0.00112310379811463,0.00220495470762546
"Sub48","5","Within",60,0.991561197728595,0.0149072446904653,0.00192451701413371,0.00385094965033378
"Sub49","5","Between",720,0.807147597265847,0.228608272969152,0.00851972730963087,0.0167265152789897
"Sub49","5","Within",60,0.925394012585956,0.0958827126941597,0.012378404981789,0.0247691311566646
"Sub5","0","Between",720,0.943662612816856,0.0221410323434574,0.000825147556866537,0.00161998649906873
"Sub5","0","Within",60,0.995269126791154,0.00266227246070466,0.000343697896779193,0.000687737902913824
"Sub50","5","Between",720,0.895258174208537,0.144647127260945,0.00539068015509226,0.0105833544550622
"Sub50","5","Within",60,0.945873404791783,0.106509119908277,0.0137502682541322,0.0275142232239924
"Sub51","5","Between",720,0.999985090888874,2.4888278716731e-05,9.27531384226197e-07,1.82099347856641e-06
"Sub51","5","Within",60,0.999988762321287,1.90442550863885e-05,2.45860275968361e-06,4.91965275868197e-06
"Sub52","5","Between",720,0.834544775508725,0.154742731081738,0.00576692109537893,0.0113220165750543
"Sub52","5","Within",60,0.930269349259803,0.0722654464480868,0.00932942901998947,0.0186681443492015
"Sub53","5","Between",720,0.805822561113194,0.199134106810769,0.00742128999112638,0.0145699875025421
"Sub53","5","Within",60,0.85596499006371,0.1781631427293,0.0230007628232851,0.0460244201018979
"Sub54","5","Between",720,0.552429414552407,0.2796671598055,0.0104225796733233,0.0204623260600441
"Sub54","5","Within",60,0.819162547652682,0.195166472334403,0.0251958832363065,0.0504168459027009
"Sub55","5","Between",720,0.651209649775984,0.277051886426645,0.0103251141890755,0.0202709751103955
"Sub55","5","Within",60,0.850022628084234,0.161310992155834,0.0208251595393247,0.0416710479861395
"Sub56","5","Between",720,0.807217377136841,0.184990101793402,0.0068941740462442,0.0135351171850492
"Sub56","5","Within",60,0.957140452998426,0.0470547416745083,0.00607474102884876,0.0121555287218095
"Sub57","5","Between",720,0.60949564504849,0.291917676121686,0.0108791294606976,0.021358656038294
"Sub57","5","Within",60,0.843797650746001,0.16777088468837,0.0216591280792181,0.0433398151799372
"Sub58","5","Between",720,0.789039106513164,0.227386310526147,0.00847418745815568,0.016637108306933
"Sub58","5","Within",60,0.931281127351563,0.105349317384677,0.0136005383921725,0.0272146144622491
"Sub59","5","Between",720,0.999818260025589,0.000159942697534591,5.96071240320056e-06,1.17024810140452e-05
"Sub59","5","Within",60,0.999908739445129,8.36529301754129e-05,1.07995468476942e-05,2.16098433276838e-05
"Sub6","0","Between",720,0.99758328700712,0.00120829174923359,4.50303747989739e-05,8.84067323659802e-05
"Sub6","0","Within",60,0.999700005513953,0.000239957652486245,3.09783997291418e-05,6.19876346785837e-05
"Sub60","5","Between",720,0.644190015356418,0.272525312791649,0.0101564187498587,0.0199397806086224
"Sub60","5","Within",60,0.863697370445072,0.145647806096228,0.018803050914078,0.0376248179730284
"Sub7","0","Between",720,0.953641201200616,0.02018459992691,0.0007522356255868,0.00147684077523875
"Sub7","0","Within",60,0.995900821078498,0.00206869399373135,0.000267067246204028,0.000534400325293021
"Sub8","0","Between",720,0.957147234458155,0.0158807855787804,0.000591841934837521,0.00116194483767292
"Sub8","0","Within",60,0.996047490880552,0.0027337179286149,0.000352921467025138,0.000706194224345432
"Sub9","0","Between",720,0.960307557768951,0.0179131315134044,0.000667582995897764,0.00131064490388736
"Sub9","0","Within",60,0.997171154839018,0.00191532591640107,0.000247267512559361,0.000494781149782663
