"Sub","slope","Type","N","corr","sd","se","ci"
"Sub33","0.05","Within",60,0.960601068784727,0.032506150357682,0.00419652596615388,0.00839722906230132
"Sub34","0.05","Between",720,0.0452642271739602,0.087735735590429,0.00326971781393578,0.00641933514831605
"Sub34","0.05","Within",60,0.971435815539962,0.0231765688790396,0.00299208217635832,0.00598714260575327
"Sub35","0.05","Between",720,0.0353650912141296,0.103610022441398,0.0038613175554874,0.00758080449545391
"Sub35","0.05","Within",60,0.970483434645168,0.0219292324665972,0.0028310517379414,0.00566492144274949
"Sub36","0.05","Between",720,0.0887672715752051,0.117967522051288,0.00439638997406474,0.00863129550994715
"Sub36","0.05","Within",60,0.963297242896668,0.0298008146539912,0.00384726862861073,0.00769836674411405
"Sub37","0.05","Between",720,0.0550963615588551,0.11026461545453,0.00410931959448672,0.00806769917456571
"Sub37","0.05","Within",60,0.959281582836815,0.030002581782455,0.00387331665288914,0.00775048872030348
"Sub38","0.05","Between",720,0.0289526412664317,0.0886502534456237,0.00330379988211666,0.00648624741128515
"Sub38","0.05","Within",60,0.976241223446,0.0163866857412819,0.00211551203251732,0.00423312979935726
"Sub39","0.05","Between",720,0.207649957545524,0.158515362637427,0.0059075187722553,0.0115980476151329
"Sub39","0.05","Within",60,0.958226133093,0.0393594640069929,0.00508128495382446,0.0101676277073522
"Sub4","0.005","Between",720,0.0123489604664983,0.104828772334159,0.0039067376822838,0.00766997641577757
"Sub4","0.005","Within",60,0.976543356303898,0.0149492397217485,0.00192993854935981,0.00386179811726335
"Sub40","0.05","Between",720,0.0262210910025622,0.116193759105306,0.00433028573201166,0.00850151511034949
"Sub40","0.05","Within",60,0.970603358427902,0.0166065614042311,0.00214389785854526,0.0042899297060424
"Sub41","0.5","Between",720,0.0729865340366779,0.163767353159298,0.00610324890265677,0.0119823184841099
"Sub41","0.5","Within",60,0.87039779865919,0.239482470441285,0.0309170539909235,0.0618648821399434
"Sub42","0.5","Between",720,0.307564764759983,0.316142843820173,0.0117819481563668,0.0231311318650963
"Sub42","0.5","Within",60,0.897167690849946,0.21395476736928,0.0276214416954301,0.0552703771686902
"Sub43","0.5","Between",720,0.103375103796784,0.187905566552768,0.00700282700270999,0.0137484321504681
"Sub43","0.5","Within",60,0.902123004623088,0.182524855188073,0.0235638574804109,0.0471511699082328
"Sub44","0.5","Between",720,0.05620166395518,0.198171923012713,0.00738543151813802,0.0144995876793409
"Sub44","0.5","Within",60,0.907850541948118,0.219593961449728,0.0283494585207503,0.0567271354713265
"Sub45","0.5","Between",720,0.191025016209437,0.287480971180188,0.0107137832299426,0.0210340369331825
"Sub45","0.5","Within",60,0.902129987578031,0.20457225289584,0.0264101642853907,0.0528466166696186
"Sub46","0.5","Between",720,0.139006271023696,0.23691500604683,0.00882930097350808,0.017334291611568
"Sub46","0.5","Within",60,0.956906800258462,0.0617362347001119,0.00797011362836952,0.0159481605332057
"Sub47","0.5","Between",720,0.0639260712497881,0.135328274882441,0.00504338703191526,0.00990152468281806
"Sub47","0.5","Within",60,0.892906676457278,0.149460341694417,0.0192952471433649,0.038609700352944
"Sub48","0.5","Between",720,0.139744698651811,0.197336599079834,0.00735430083318551,0.0144384697751428
"Sub48","0.5","Within",60,0.909419538668122,0.162394656431247,0.0209650599957099,0.0419509881527587
"Sub49","0.5","Between",720,0.127531431303365,0.250776584599854,0.00934589150550835,0.0183484977137653
"Sub49","0.5","Within",60,0.904670972718964,0.217624836011172,0.0280952455197463,0.0562184564312675
"Sub5","0.005","Between",720,0.0265599546534269,0.117343431088978,0.00437313147713362,0.00858563282731117
"Sub5","0.005","Within",60,0.949811901077789,0.0430324833555124,0.00555546971272825,0.0111164692182786
"Sub50","0.5","Between",720,0.17688210864144,0.229309430250884,0.00854585789871205,0.0167778166506922
"Sub50","0.5","Within",60,0.92593528433065,0.202600405072877,0.026155599826071,0.0523372343630943
"Sub51","0.5","Between",720,0.0901913841380752,0.190775544453435,0.00710978476404021,0.0139584189920744
"Sub51","0.5","Within",60,0.81490302125048,0.277247099199821,0.0357924465995075,0.0716205202160856
"Sub52","0.5","Between",720,0.13717775138471,0.208345371286181,0.0077645735498889,0.0152439454218498
