"Sub","noise","Type","N","corr","sd","se","ci"
"Sub48","5","Between",720,0.931289118529292,0.078488731806733,0.00292510232979341,0.00574276230139316
"Sub48","5","Within",60,0.97313155181791,0.0454300578894606,0.00586499525410399,0.0117358283959717
"Sub49","5","Between",720,0.310603131920819,0.319100657964326,0.011892179381219,0.0233475453956829
"Sub49","5","Within",60,0.894053505612336,0.107450504618385,0.0138718004976196,0.0277574086814993
"Sub5","0","Between",720,0.0065882484482112,0.0916121102065343,0.00341418176640022,0.006702956726841
"Sub5","0","Within",60,0.976527054047165,0.0156402721752352,0.00201915045549457,0.00404031072910946
"Sub50","5","Between",720,0.498600718781184,0.353018039255168,0.0131562055509708,0.025829168606498
"Sub50","5","Within",60,0.845788964063921,0.229357768600884,0.0296099606038173,0.0592493943136141
"Sub51","5","Between",720,0.491321712770344,0.357660737960177,0.0133292287160282,0.0261688595976265
"Sub51","5","Within",60,0.884206029419058,0.162255545573654,0.0209471008612186,0.0419150520076472
"Sub52","5","Between",720,0.41663395884344,0.356607866529185,0.0132899905145072,0.0260918244586591
"Sub52","5","Within",60,0.847934130608409,0.208497155302829,0.0269168670073159,0.0538605264742556
"Sub53","5","Between",720,0.603476048034788,0.312510314108295,0.0116465717669327,0.0228653516160354
"Sub53","5","Within",60,0.904729625642562,0.122265844256122,0.015784452620465,0.0315846167392038
"Sub54","5","Between",720,0.874759169999077,0.188247834134998,0.0070155825623827,0.0137734747435
"Sub54","5","Within",60,0.945770196524619,0.0906839571056941,0.0117072485212847,0.0234261501812214
"Sub55","5","Between",720,0.538336852932775,0.345332580924323,0.0128697854298706,0.0252668489033337
"Sub55","5","Within",60,0.846828149483384,0.229926517141149,0.0296833857246381,0.0593963176410122
"Sub56","5","Between",720,0.368063154038988,0.370449299107603,0.0138058302503625,0.0271045565461686
"Sub56","5","Within",60,0.873200339393392,0.188638038727899,0.0243530660818128,0.0487303726719856
"Sub57","5","Between",720,0.397413163348451,0.36169931463956,0.0134797375824857,0.0264643489675243
"Sub57","5","Within",60,0.820545903579465,0.211900532299386,0.0273562410882669,0.0547397119794904
"Sub58","5","Between",720,0.501086069094227,0.353398656691234,0.0131703903253118,0.0258570171321752
"Sub58","5","Within",60,0.81172042770747,0.262783598466811,0.0339252166839473,0.0678842017852214
"Sub59","5","Between",720,0.424614058667114,0.349009388517328,0.0130068119585063,0.0255358688192953
"Sub59","5","Within",60,0.807706285872424,0.223018680950571,0.0287915879071568,0.0576118343300429
"Sub6","0","Between",720,0.0479464338407115,0.136086221585634,0.00507163403777629,0.00995698114966836
"Sub6","0","Within",60,0.967629625748622,0.0343545686155198,0.00443515573713494,0.00887472613110868
"Sub60","5","Between",720,0.467562275892144,0.357140330625756,0.0133098342797657,0.0261307831049544
"Sub60","5","Within",60,0.866259402116322,0.187049034728232,0.0241479265475538,0.0483198894120701
"Sub7","0","Between",720,0.0346368359422329,0.0805565679405869,0.00300216603248721,0.0058940590687329
"Sub7","0","Within",60,0.974772421736883,0.0210090709767271,0.00271225940040512,0.00542721852438709
"Sub8","0","Between",720,0.0251100629439793,0.093509215694663,0.00348488271359928,0.00684176169448678
"Sub8","0","Within",60,0.980091217694195,0.0134140857329007,0.0017317510216041,0.00346522579022944
"Sub9","0","Between",720,0.0421797246624109,0.11204065727616,0.00417550876522084,0.00819764631199771
"Sub9","0","Within",60,0.936013576034639,0.0761825863215516,0.00983512960314594,0.0196800488787941
